run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Single Entity Control,Collusion Threshold,Delegate Concentration,Voter Concentration Gini,Voting Power Utilization,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,2441,4895,0.5313765543215382,0.38271604938271603,0.5172323804373858,0.027204766329130266,0.10526315789473684,0.4949047217865423,0.22503711783777233,0.40032899149779033,0.8607594936708861,1,920.3924050632911
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,2541,4812,0.25712618328990183,0.4044943820224719,0.23721911942894688,0.023950171550616548,0.2,0.23784885086932403,0.214906103286385,0.3416970951686892,0.9195402298850575,1,1008.9310344827586
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,2641,13574,0.2563994785398266,0.43373493975903615,0.23899116897021225,0.022883935704466795,0.22105263157894736,0.2482511786262642,0.21877232482944253,0.3434232148598746,0.8780487804878049,1,1027.1707317073171
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,2741,4556,0.24896888046543425,0.39285714285714285,0.2343436952050393,0.018001504694528648,0.30526315789473685,0.2309078031364513,0.21697127068144745,0.3913636335283877,0.8313253012048193,1,952.843373493976
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,2841,4626,0.3403148797726126,0.4117647058823529,0.32966386467469105,0.01887577993979034,0.33157894736842103,0.31567547718959504,0.21105378861611548,0.4673144777273688,0.801980198019802,1,1125.4059405940593
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,2941,3943,0.39975272002483897,0.46987951807228917,0.38445097030006964,0.02640191376866296,0.1368421052631579,0.36491013960374347,0.22063261778744975,0.3643038285262389,0.7926829268292683,1,1017.2926829268292
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,3041,3902,0.3920948913463597,0.38372093023255816,0.38698689513254475,0.02637633840435612,0.10526315789473684,0.37206505320753314,0.2145446168023345,0.37020940389088886,0.8333333333333334,0.9883720930232558,970.4880952380952
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,442,14651,0.46225236572339234,0.5051546391752577,0.45414623869458065,0.022905763109078252,0.18421052631578946,0.4290397765254548,0.21054147091298794,0.46727597948076255,0.7731958762886598,1,1104.4432989690722
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,542,14340,0.4954938043777527,0.35714285714285715,0.5004868865860802,0.024903600688759416,0.13157894736842105,0.45795526844513124,0.21653558869792225,0.4720755293483183,0.6547619047619048,1,1047.547619047619
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,642,12118,0.5538502708019882,0.3855421686746988,0.5482120290505962,0.027917742876312948,0.1,0.5099256591310666,0.21474913379234176,0.4501677440242937,0.7926829268292683,1,1147.8536585365853
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,742,11151,0.23002347516725766,0.45263157894736844,0.22085825005403517,0.013235395832201501,0.3894736842105263,0.21315123140085077,0.21815440973854408,0.4058393632855876,0.8631578947368421,1,1021.2736842105263
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,842,11965,0.2619108325160169,0.40625,0.24618558437404567,0.02777722997239529,0.24210526315789474,0.23848321770562478,0.20726303006199887,0.3665839782013388,0.8854166666666666,1,1071.8125
