run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Voter Concentration Gini,Delegate Concentration,Governance Capture Risk,Voter Participation Rate,Average Turnout,Voter Retention Rate,Proposal Pass Rate,Avg Margin of Victory,Quorum Reach Rate,Final Treasury,Treasury Growth Rate
Conviction Voting Dynamics-72-run-074,72,215,11326,0.4390932061838699,0.14084507042253522,0.03215434083601286,60.671875,0.09859154929577464,0.3101311440574541,0.45424062378599533,0.48048561675728474,0.37844458052663804,0.31904009723777127,1,0.609375,0.36410721426194137,1,11387.394801353665,-0.7723489467309873
Conviction Voting Dynamics-72-run-075,72,216,10808,0.4349259771974406,0.11428571428571428,0.03215434083601286,59.29824561403509,0.18571428571428572,0.3173713628818937,0.4838647297101256,0.4942264768230355,0.37586512866015986,0.3189751732996212,1,0.5789473684210527,0.34684435039142364,1,8173.487347239783,-0.8365997635158048
Conviction Voting Dynamics-72-run-081,72,222,9976,0.44793818677179387,0.10714285714285714,0.03216364864430221,60.75925925925926,0.03571428571428571,0.3054764942585141,0.48523544580212846,0.5017223925362116,0.3930789707187223,0.34089234741962776,1,0.6111111111111112,0.3644780206816143,1,5840.563323017417,-0.8702648932473589
Conviction Voting Dynamics-72-run-082,72,223,8853,0.437624949745643,0.25,0.03215434083601286,49.791666666666664,0.07692307692307693,0.31843021992078774,0.4804590311078316,0.513142674969071,0.38569039655996185,0.3320470392562763,1,0.6666666666666666,0.3455216493050675,1,7889.845807414242,-0.8422701821162429
Conviction Voting Dynamics-72-run-080,72,221,9122,0.4280659682705048,0.15,0.03215434083601286,58.648148148148145,0.1,0.3151766524123428,0.4707033699944248,0.4959444662808725,0.37484472049689443,0.3165088433690716,1,0.6111111111111112,0.2973895496257911,1,33691.777104229106,-0.32645098566611547
Conviction Voting Dynamics-72-run-076,72,217,9986,0.4334563662788397,0.1724137931034483,0.03215434083601286,56.24,0.13793103448275862,0.3020211959084107,0.4786509793388591,0.4894412108300454,0.38937674020132784,0.3393597145981239,1,0.74,0.37527305137708417,1,9210.80306867409,-0.8158622708165129
Conviction Voting Dynamics-72-run-079,72,220,10578,0.42217397558212255,0.08955223880597014,0.03215434083601286,61.59649122807018,0.14925373134328357,0.31333447449503593,0.47040285637103596,0.5170413562637157,0.3767497914155928,0.31116783444578827,1,0.7719298245614035,0.3942252499515372,1,62905.9999999984,0.25758502333104305
Conviction Voting Dynamics-72-run-083,72,224,10533,0.4701447437615909,0.12307692307692308,0.03215434083601286,63.54385964912281,0.12307692307692308,0.3023358836395854,0.49106250495485254,0.5277593593810375,0.3858576206402294,0.33142508581847213,1,0.5964912280701754,0.3214557355535285,1,10172.912200824218,-0.7966282703173226
Conviction Voting Dynamics-72-run-087,72,228,8779,0.43431728709574907,0.15384615384615385,0.03215434083601286,58.092592592592595,0.16923076923076924,0.3351980476816219,0.47685400453541776,0.49363188852760037,0.3635929288103202,0.30187963012336233,1,0.6851851851851852,0.3489592720961899,1,53182.641046077966,0.18117285236788425
Conviction Voting Dynamics-72-run-084,72,225,9957,0.46668142872958085,0.1044776119402985,0.03215951117543013,63.526315789473685,0.14925373134328357,0.3200537647607591,0.4642895865955588,0.48692503502248774,0.375266524520256,0.3132480106048392,1,0.7192982456140351,0.3333769199763838,1,13052.278478812375,-0.7100727022099826
