run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Proposal Rejection Rate,Governance Capture Risk,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Whale Influence,Delegate Concentration,Collusion Threshold,Avg Margin of Victory,Voter Participation Rate,Average Turnout,Quorum Reach Rate,Total Proposals,Governance Overhead,Final Treasury
Bicameral Attack Resistance-0_5-run-020,0.5,61,975,0.717948717948718,0.28205128205128205,0.5069141458445515,0.025003125390673835,17.628205128205128,0.025,0.45787255455595827,0.5030715193302594,0.09523809523809523,0.3424000628629065,0.3699404761904761,0.3236773457649583,1,80,79.67948717948718,17258.196710694425
Bicameral Attack Resistance-0_5-run-019,0.5,60,1085,0.8,0.2,0.5199504312256913,0.025,19.694117647058825,0.03409090909090909,0.4421368282640362,0.49238866582275465,0.1,0.37458112111993747,0.35741341991341985,0.31271490067705987,1,88,77.70588235294117,13960.764561135991
Bicameral Attack Resistance-0_5-run-018,0.5,59,1092,0.7777777777777778,0.2222222222222222,0.5075921211417096,0.025002500250025,18.366666666666667,0,0.44337091543983553,0.4900210969128271,0.09523809523809523,0.3462837212988828,0.35671957671957677,0.3072737348767725,1,90,74.91111111111111,15946.256729958586
Bicameral Attack Resistance-0_5-run-016,0.5,57,1055,0.7901234567901234,0.20987654320987653,0.5195338458920586,0.025,17.938271604938272,0.024096385542168676,0.4254645293496116,0.5038814148287374,0.1,0.3571673668828942,0.3543316121629375,0.3036667828774313,1,83,76.24691358024691,11870.900782215369
Bicameral Attack Resistance-0_5-run-014,0.5,55,1121,0.7931034482758621,0.20689655172413793,0.5094793662334951,0.025,17.862068965517242,0.06451612903225806,0.45429796354284113,0.4984054304198236,0.1,0.3374201389846368,0.3581669226830517,0.32361269106715984,1,93,80.40229885057471,13934.081551904808
Bicameral Attack Resistance-0_5-run-013,0.5,54,1233,0.7345132743362832,0.26548672566371684,0.5121471825833128,0.025,18.424778761061948,0.008771929824561403,0.44190896732545387,0.4933988896978948,0.1,0.32919330327238044,0.3644110275689221,0.31690312318810687,1,114,77.20353982300885,9020.073577584948
Bicameral Attack Resistance-0_5-run-011,0.5,52,1210,0.7755102040816326,0.22448979591836735,0.4991355181658084,0.025,18.418367346938776,0.0297029702970297,0.4350194729637416,0.4877590027658726,0.1,0.3586670122157708,0.3666666666666664,0.322753125378647,1,101,79.35714285714286,6385.1421667350005
Bicameral Attack Resistance-0_5-run-017,0.5,58,1045,0.8,0.2,0.5226861131872336,0.025,18.906666666666666,0.038461538461538464,0.4548554482290307,0.49667529263070814,0.1,0.35220523333144294,0.3743589743589743,0.3310474254762861,1,78,81.76,5008.254999648435
Bicameral Attack Resistance-0_5-run-012,0.5,53,1088,0.7325581395348837,0.26744186046511625,0.5311082568787667,0.025006251562890724,19,0.044444444444444446,0.43544673747262236,0.4990760364193835,0.09523809523809523,0.3744166038746097,0.3614814814814814,0.31232175066346585,0.9888888888888889,90,79.44186046511628,4841.723192834581
Bicameral Attack Resistance-0_5-run-021,0.5,62,1002,0.723404255319149,0.2765957446808511,0.5072719400802419,0.025,18.574468085106382,0.050505050505050504,0.43576964169517934,0.4852349765374986,0.1,0.32144056392917625,0.3614237614237613,0.31068983698030134,1,99,79.93617021276596,4731.172221177558
Bicameral Attack Resistance-0_5-run-026,0.5,67,905,0.6829268292682927,0.3170731707317073,0.5059184940619965,0.025,17.609756097560975,0.03529411764705882,0.4464319569261231,0.4999535768893675,0.1,0.3071852392388613,0.3577030812324928,0.31414681440346354,1,85,77.86585365853658,4792.419631571733
