run_id,sweep_value,seed,duration_ms,ecosystem.Inter-DAO Proposal Count,ecosystem.Inter-DAO Proposal Success Rate,ecosystem.Collaboration Proposal Rate,ecosystem.Treaty Proposal Rate,ecosystem.Resource Sharing Rate,ecosystem.Joint Venture Rate,ecosystem.Inter-DAO Voting Participation,ecosystem.Cross-DAO Approval Alignment,ecosystem.Total Shared Budget,ecosystem.Resource Flow Volume,ecosystem.Ecosystem Treasury Total,dao-1.Proposal Pass Rate,dao-2.Proposal Pass Rate,dao-3.Proposal Pass Rate,dao-1.Voter Participation Rate,dao-2.Voter Participation Rate,dao-3.Voter Participation Rate,dao-1.Final Treasury,dao-2.Final Treasury,dao-3.Final Treasury,dao-1.Treasury Growth Rate,dao-2.Treasury Growth Rate,dao-3.Treasury Growth Rate
Inter-DAO Cooperation-heterogeneous-governance-run-051,heterogeneous-governance,817,443,51,0.21568627450980393,0.1568627450980392,0.3137254901960784,0.2549019607843137,0.27450980392156865,89.34555142018993,0.49019607843137253,132192.39114783704,37560.75704237446,22087.124072491213,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-052,heterogeneous-governance,818,455,54,0.24074074074074073,0.2777777777777778,0.2962962962962963,0.2222222222222222,0.2037037037037037,86.47913573636595,0.5555555555555556,228443.7463991344,74620.80984492786,23995.62867615212,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-053,heterogeneous-governance,819,396,55,0.3090909090909091,0.2909090909090909,0.23636363636363636,0.2545454545454545,0.21818181818181817,94.31705360951659,0.509090909090909,257830.73430880904,30285.222261445597,33999.83399457478,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-054,heterogeneous-governance,820,456,51,0.23529411764705882,0.27450980392156865,0.29411764705882354,0.29411764705882354,0.13725490196078433,91.88709464521027,0.4117647058823529,195563.76487948,19981.548745417967,34117.67174886317,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-055,heterogeneous-governance,821,380,49,0.3673469387755102,0.32653061224489793,0.22448979591836735,0.14285714285714285,0.30612244897959184,91.82678629158974,0.6326530612244898,231051.54630728066,60617.16415337287,11999.596396004905,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-056,heterogeneous-governance,822,461,58,0.2413793103448276,0.1724137931034483,0.27586206896551724,0.3103448275862069,0.2413793103448276,93.04686856677489,0.6379310344827587,219011.9068417698,34205.79086174257,22127.93898894299,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-057,heterogeneous-governance,823,465,43,0.4418604651162791,0.23255813953488372,0.2558139534883721,0.20930232558139536,0.3023255813953488,89.9048151721096,0.6976744186046512,312301.9421752542,44184.52258803882,34039.053851433135,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-058,heterogeneous-governance,824,442,56,0.30357142857142855,0.14285714285714285,0.35714285714285715,0.17857142857142858,0.32142857142857145,92.07434737896932,0.4642857142857143,201623.72205406427,57547.46291437186,22021.73410000468,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-059,heterogeneous-governance,825,387,49,0.2653061224489796,0.30612244897959184,0.20408163265306123,0.24489795918367346,0.24489795918367346,93.08714593927175,0.5918367346938775,174959.96799319983,45677.168698748574,34058.31083527833,,,,,,,,,,,,
Inter-DAO Cooperation-heterogeneous-governance-run-060,heterogeneous-governance,826,411,43,0.13953488372093023,0.23255813953488372,0.32558139534883723,0.20930232558139536,0.23255813953488372,90.39136830275848,0.5116279069767442,135877.88606062531,5048.656165599823,22148.992893372466,,,,,,,,,,,,
