# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Final Reputation Gini,0.398647,167.630215,0.690660,false,0.056377,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Proposal Pass Rate,-24.211374,190.209551,0,true,-3.424005,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Average Turnout,-27.188301,168.593697,0,true,-3.845006,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Final Treasury,1.175748,197.809111,0.241109,false,0.166276,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Final Token Price,-1.393681,108.358616,0.166266,false,-0.197096,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Final Member Count,0,198,1,false,0,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Total Proposals,1.071274,194.708481,0.285372,false,0.151501,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Quorum Reach Rate,-1.661678,185.309916,0.098268,false,-0.234997,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Avg Margin of Victory,-5.580916,196.094217,0.000000,true,-0.789261,medium
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Avg Time to Decision,1.233623,197.982563,0.218806,false,0.174461,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Proposal Abandonment Rate,0,198,1,false,0,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Proposal Rejection Rate,24.211374,190.209551,0,true,3.424005,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Governance Overhead,-36.650069,190.735668,0,true,-5.183102,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Unique Voter Count,-2.894240,195.871243,0.004232,true,-0.409307,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Voter Participation Rate,-39.043126,189.364904,0,true,-5.521532,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Voter Concentration Gini,8.557522,196.624786,0.000000,true,1.210216,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Delegate Concentration,0.816335,195.498749,0.415302,false,0.115447,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Avg Votes Per Proposal,-39.043126,189.364904,0,true,-5.521532,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Voter Retention Rate,2.949761,195.844945,0.003568,true,0.417159,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Voting Power Utilization,-27.032493,168.509088,0,true,-3.822972,very_large
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Treasury Volatility,-0.488678,197.936513,0.625611,false,-0.069110,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Treasury Growth Rate,-0.217887,197.035269,0.827743,false,-0.030814,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Staking Participation,-0.852778,197.988678,0.394813,false,-0.120601,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Token Concentration Gini,1.102735,197.974316,0.271481,false,0.155950,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Avg Member Wealth,0.928278,197.991532,0.354394,false,0.131278,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Wealth Mobility,-1.102735,197.974316,0.271481,false,-0.155950,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Whale Influence,1.584635,197.994981,0.114645,false,0.224101,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Whale Proposal Rate,-1.587983,196.385050,0.113899,false,-0.224575,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Governance Capture Risk,1.892443,192.316082,0.059934,false,0.267632,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0.2_proposal_bond_fraction=0,Vote Buying Vulnerability,-24.969546,172.748542,0,true,-3.531227,very_large
