run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Voter Participation Rate,Delegate Concentration,Whale Influence,Voter Concentration Gini,Unique Voter Count,Voter Retention Rate,Quorum Reach Rate,Final Member Count,Total Proposals,Avg Votes Per Proposal,Participation Trend,Token Concentration Gini,Final Gini,Final Treasury,Governance Capture Risk,Single Entity Control
Scale Sweep-200-run-009,200,876,10755,1,0.21951487904843822,0.24826313971249,0.27516975267373484,0.25815599583029736,0.4045950977616486,329,0.926923076923077,1,405,35,78,0.0028280324235470224,0.4752469120927323,0.47514900799254267,12051.099118069178,0.2652801870034904,0.018692371784112653
Scale Sweep-350-run-009,350,906,24243,1,0.23140785384984108,0.23892237715522124,0.25804453073268563,0.26422156592338,0.38091860406246225,465,0.9012987012987013,1,565,59,109.37288135593221,0.0015398793570424887,0.462745056813822,0.46268712499890086,12063.323283535588,0.25723780404572694,0.013107228128761016
Scale Sweep-500-run-009,500,936,54213,1,0.23889543737343433,0.19089167136581578,0.22048314139477873,0.23098424141598617,0.4051940821478417,577,0.8893280632411067,1,721,83,117.6144578313253,0.0008219597078480933,0.38637891638351746,0.38636026165197346,12074.482596377162,0.2196833153321355,0.010236966363701562
Scale Sweep-50-run-010,50,817,5054,0.975609756097561,0.2069129085717672,0.2603107113955528,0.2778583257982606,0.24074013974125968,0.42851926977687627,192,0.952,0.9767441860465116,250,43,41.41860465116279,0.0033620426294239465,0.448717014614405,0.4487454422212076,12038.847612969152,0.2639810787225848,0.027475679203709913
Scale Sweep-100-run-010,100,847,5323,0.8214285714285714,0.2267031895082094,0.25518977629438344,0.2551698717311319,0.26137562735129743,0.38735024087332315,237,0.9190751445086706,1,301,30,53.03333333333333,0.00461996726332435,0.44900672513794043,0.44897529122548385,12041.921405212985,0.26706633422833825,0.02102515660900991
Scale Sweep-200-run-010,200,877,11912,1,0.23004041047657262,0.22979197091780412,0.2707678514834737,0.27700026241524944,0.4278362196185551,318,0.9407114624505929,1,405,64,69.96875,0.001712728578569859,0.4574919170453444,0.4574465544920785,12048.967286972374,0.27183577120285696,0.015708416192878664
Scale Sweep-350-run-010,350,907,27219,1,0.23088729619998016,0.20653094356862325,0.24662901314690094,0.26600968370114303,0.37105584739842423,455,0.9491094147582697,1,565,81,98.61728395061728,0.0009412471029150097,0.40806146142044686,0.40786480093044997,11224.905055012663,0.24386669026859542,0.011550382856013439
Scale Sweep-500-run-010,500,937,48426,1,0.2358717752444243,0.20574018439511746,0.24184763057383926,0.2596372555263397,0.3691741580098125,599,0.9089147286821705,1,721,78,127.3076923076923,0.0009808146934680284,0.38901631828384126,0.38890557011396876,11181.023093674476,0.24422053949381295,0.012540319492512124
Scale Sweep-50-run-011,50,818,4868,1,0.2010352972465897,0.2701944527005317,0.29243129979222154,0.2858658427426668,0.42334252873563216,187,0.9403973509933775,0.96875,250,32,47.0625,0.0045229850239361475,0.5180802478641466,0.5179955785775481,10899.768867118695,0.28844549162915667,0.0267793456295565
Scale Sweep-100-run-011,100,848,6936,1,0.22716290829728353,0.2558969671179769,0.2809672623446188,0.2559452856239414,0.40217870047253007,242,0.9243243243243243,1,301,28,54.964285714285715,0.005593889618132407,0.47661022289580973,0.4764524006525912,12035.893085557114,0.2913661893327781,0.02466816822022131
Scale Sweep-200-run-011,200,878,9475,0.9722222222222222,0.2288122499680938,0.23326586014946094,0.27051363003860196,0.253933183286018,0.41821718167872013,335,0.8716981132075472,1,405,36,71.52777777777777,0.003021614522999787,0.42444685877196536,0.42428918886442113,12048.71723986797,0.2676951310319919,0.019013482173555873
Scale Sweep-350-run-011,350,908,23338,1,0.2274458682892503,0.22604029459869845,0.24604179370925555,0.2578281258048432,0.374117761044926,462,0.918918918918919,1,565,60,107.11666666666666,0.0010212901783879446,0.44689186003968523,0.4470189296598517,12062.72897610606,0.2459630748304489,0.015124302579780317
Scale Sweep-500-run-011,500,938,46111,1,0.23827998253105354,0.19708419962239504,0.21741102237065038,0.23166752296215767,0.38225297587294815,592,0.9156862745098039,1,721,79,121.77215189873418,0.0011485979886384499,0.3612954628829955,0.36135540153225576,12077.170343763793,0.21720945577616493,0.01130705435695129
Scale Sweep-50-run-012,50,819,6050,0.9210526315789473,0.2147270684022323,0.25934702684793853,0.2906462150401789,0.25120156099915103,0.4332561044860874,200,0.9172932330827067,1,250,40,40.275,0.0031269747248253072,0.4399226998669406,0.43992500043730076,10783.889087417629,0.2705337749662035,0.02820519138712788
