# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.03,0.08,Final Treasury,-1.094910,48.429551,0.278972,false,-0.282705,small
0.03,0.08,Final Token Price,0.342143,46.797003,0.733775,false,0.088341,negligible
0.03,0.08,Final Member Count,0,58,1,false,0,negligible
0.03,0.08,Total Proposals,-1.725418,57.878540,0.089788,false,-0.445501,small
0.03,0.08,Quorum Reach Rate,1.646770,56.955553,0.105113,false,0.425194,small
0.03,0.08,Avg Margin of Victory,0.170106,49.936756,0.865614,false,0.043921,negligible
0.03,0.08,Avg Time to Decision,0.918733,57.519156,0.362072,false,0.237216,small
0.03,0.08,Proposal Abandonment Rate,-0.302826,55.102790,0.763163,false,-0.078189,negligible
0.03,0.08,Proposal Rejection Rate,-1.181556,57.550465,0.242241,false,-0.305077,small
0.03,0.08,Governance Overhead,0.604834,57.947963,0.547651,false,0.156167,negligible
0.03,0.08,Unique Voter Count,0,58,1,false,0,negligible
0.03,0.08,Voter Participation Rate,0.638614,57.883092,0.525593,false,0.164889,negligible
0.03,0.08,Voter Concentration Gini,0.164511,57.999492,0.869901,false,0.042477,negligible
0.03,0.08,Delegate Concentration,-0.574005,57.799801,0.568192,false,-0.148207,negligible
0.03,0.08,Avg Votes Per Proposal,0.638614,57.883092,0.525593,false,0.164889,negligible
0.03,0.08,Voter Retention Rate,0,58,1,false,0,negligible
0.03,0.08,Voting Power Utilization,1.196420,57.977839,0.236402,false,0.308914,small
0.03,0.08,Treasury Volatility,0.893092,57.427295,0.375535,false,0.230595,small
0.03,0.08,Treasury Growth Rate,-2.104600,53.253604,0.040062,false,-0.543405,medium
0.03,0.08,Staking Participation,0.476793,51.439664,0.635529,false,0.123107,negligible
0.03,0.08,Token Concentration Gini,-1.983811,52.133118,0.052554,false,-0.512218,medium
0.03,0.08,Avg Member Wealth,-0.619784,51.724248,0.538121,false,-0.160028,negligible
0.03,0.08,Wealth Mobility,1.983811,52.133118,0.052554,false,0.512218,medium
0.03,0.08,Whale Influence,-0.131981,55.594140,0.895476,false,-0.034077,negligible
0.03,0.08,Whale Proposal Rate,0.494488,56.334489,0.622884,false,0.127676,negligible
0.03,0.08,Governance Capture Risk,-0.639106,57.567954,0.525289,false,-0.165017,negligible
0.03,0.08,Vote Buying Vulnerability,0.842424,51.642283,0.403435,false,0.217513,small
0.03,0.08,Single Entity Control,0.426162,51.674171,0.671760,false,0.110035,negligible
0.03,0.08,Collusion Threshold,0.945249,54.793285,0.348682,false,0.244062,small
0.03,0.08,Participation Trend,-0.327931,54.403267,0.744223,false,-0.084671,negligible
0.03,0.08,Treasury Trend,-0.766046,57.248980,0.446796,false,-0.197792,negligible
0.03,0.08,Member Growth Rate,0,58,1,false,0,negligible
0.03,0.08,Proposal Rate,-1.725418,57.878540,0.089788,false,-0.445501,small
0.03,0.08,Governance Activity Index,0.114657,57.999540,0.909113,false,0.029604,negligible
0.03,0.08,Final Gini,-1.983811,52.133118,0.052554,false,-0.512218,medium
0.03,0.08,Final Reputation Gini,0.031556,34.409681,0.975008,false,0.008148,negligible
0.03,0.1,Proposal Pass Rate,1.083041,56.112385,0.283423,false,0.279640,small
0.03,0.1,Average Turnout,1.718095,57.988925,0.091115,false,0.443610,small
