run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Average Turnout,Avg Margin of Victory,Proposal Rate,Total Proposals
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-007,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,811,16736,1,1,586.0909090909091,0,0,87.93939393939394,0.2383754805560703,0.5012767480756736,1.7000000000000002,34
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-007,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,911,17156,1,1,868.5098039215686,0,0,68.49019607843137,0.23063646033505691,0.5342482734583107,2.6,52
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-007,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1011,18039,0.9818181818181818,1,947.5636363636364,0,0.01818181818181818,78.85454545454546,0.2277584784217869,0.5230551763653918,2.9000000000000004,58
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-007,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1111,22537,0.9807692307692307,1,997.2884615384615,0,0.019230769230769232,84.34615384615384,0.2435242932866559,0.6051976549142852,2.8000000000000003,56
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-007,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1211,19115,1,1,968.2923076923076,0,0,74.36923076923077,0.21090724497305732,0.5444950569248661,3.25,65
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-007,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1311,22848,1,1,737.3703703703703,0,0,81.92592592592592,0.2326164634720204,0.6047173213761134,2.8000000000000003,56
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-008,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,512,19885,0.9411764705882353,0.9743589743589743,904.0294117647059,0,0.058823529411764705,88.11764705882354,0.24306089397147476,0.5230248368870838,1.95,39
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-008,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,612,20111,0.98,1,838.68,0,0.02,76.26,0.2282736241447067,0.4649854391216068,2.65,53
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-008,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,712,20971,1,1,950.5714285714286,0,0,74.48571428571428,0.22429942857150817,0.45848184957102983,3.5000000000000004,70
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-008,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,812,18549,1,1,802.3061224489796,0,0,83.75510204081633,0.21347955807114344,0.6539178938551251,2.65,53
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-008,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,912,17187,0.9583333333333334,1,1038.5,0,0.041666666666666664,67.04166666666667,0.24780939228687301,0.4975188330843672,2.45,49
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-008,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1012,20069,1,1,749.0588235294117,0,0,85.02941176470588,0.20903522140231814,0.600630252074994,1.7999999999999998,36
