run_id,sweep_value,seed,duration_ms,ecosystem.Inter-DAO Proposal Count,ecosystem.Inter-DAO Proposal Success Rate,ecosystem.Collaboration Proposal Rate,ecosystem.Treaty Proposal Rate,ecosystem.Resource Sharing Rate,ecosystem.Joint Venture Rate,ecosystem.Inter-DAO Voting Participation,ecosystem.Cross-DAO Approval Alignment,ecosystem.Total Shared Budget,ecosystem.Resource Flow Volume,ecosystem.Ecosystem Treasury Total,dao-1.Proposal Pass Rate,dao-2.Proposal Pass Rate,dao-3.Proposal Pass Rate,dao-1.Voter Participation Rate,dao-2.Voter Participation Rate,dao-3.Voter Participation Rate,dao-1.Final Treasury,dao-2.Final Treasury,dao-3.Final Treasury,dao-1.Treasury Growth Rate,dao-2.Treasury Growth Rate,dao-3.Treasury Growth Rate
Inter-DAO Cooperation-heterogeneous-governance-run-046,heterogeneous-governance,852,2882,56,0.25,0.23214285714285715,0.23214285714285715,0.25,0.2857142857142857,96.55860925996895,0.6071428571428571,235246.86390534043,61173.302652314305,22015.09290714351,,,,,,,,,,,,
Inter-DAO Cooperation-asymmetric-treasury-run-046,asymmetric-treasury,952,2627,47,0.23404255319148937,0.1702127659574468,0.23404255319148937,0.2765957446808511,0.3191489361702128,99.7855626221099,0.5319148936170213,164486.02253571153,37343.40099385008,23872.89074012963,,,,,,,,,,,,
Inter-DAO Cooperation-specialized-daos-run-046,specialized-daos,1052,3060,67,0.19402985074626866,0.2537313432835821,0.19402985074626866,0.23880597014925373,0.31343283582089554,78.10374657117234,0.44776119402985076,262612.0750885457,21007.761566434056,21880.547607941047,,,,,,,,,,,,
Inter-DAO Cooperation-isolated-daos-run-046,isolated-daos,1152,2089,0,0,0,0,0,0,0,0,0,0,35855.884419829534,,,,,,,,,,,,
Inter-DAO Cooperation-homogeneous-governance-run-047,homogeneous-governance,753,3518,49,0.12244897959183673,0.3469387755102041,0.1836734693877551,0.1836734693877551,0.2857142857142857,94.41093875056079,0.6326530612244898,125910.3140886873,0,33755.510144605825,0.7142857142857143,0.625,0.8181818181818182,0.34462239200705264,0.3398594377510041,0.3611558824606136,10000,11880.410255098066,11875.099889507754,1.1050910214062823,1.0571124496796014,1.0578328440440856
Inter-DAO Cooperation-heterogeneous-governance-run-047,heterogeneous-governance,853,3199,42,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2619047619047619,0.23809523809523808,99.33946896757979,0.5476190476190477,52967.491298913956,54932.25490441546,21906.326239636743,,,,,,,,,,,,
Inter-DAO Cooperation-asymmetric-treasury-run-047,asymmetric-treasury,953,3083,49,0.24489795918367346,0.22448979591836735,0.22448979591836735,0.32653061224489793,0.22448979591836735,94.7889639366011,0.5510204081632653,132336.15503646433,48331.804021727294,23872.655907793705,,,,,,,,,,,,
Inter-DAO Cooperation-specialized-daos-run-047,specialized-daos,1053,2828,75,0.24,0.26666666666666666,0.30666666666666664,0.30666666666666664,0.12,116.43534654080908,0.5466666666666666,173071.3851749897,47971.33768093772,23851.58283883782,,,,,,,,,,,,
Inter-DAO Cooperation-isolated-daos-run-047,isolated-daos,1153,2382,0,0,0,0,0,0,0,0,0,0,35753.63926586958,,,,,,,,,,,,
Inter-DAO Cooperation-homogeneous-governance-run-048,homogeneous-governance,754,2834,49,0.24489795918367346,0.3877551020408163,0.2653061224489796,0.22448979591836735,0.12244897959183673,93.77309257556131,0.5918367346938775,196462.16737106442,42268.33806373179,23892.543217521303,0.75,0.6428571428571429,0.8,0.30843373493975906,0.35542168674698793,0.32756024096385544,14.8429,11919.359515625,11958.340801896304,1.0534210456518325,1.0946821374902658,1.096342442380243
